order_id,booking_time,customer_id,customer_name,customer_email,event_id,event_name,event_location,seat_number,seat_price,event_category,booking_day_of_week,booking_hour,payment_id,payment_time,amount,payment_method,payment_type,booking_event_time,payment_event_time
order_3598,2025-02-04T19:19:48.0000000,cust3598,Mark Wilson,goodwinkimberly@example.org,event90,Concert,"77329 Williamson Via Apt. 070
South Katie, NV 89803",C2,76,Music,Tuesday,19,payment_4598,2025-02-04T19:19:42.0000000,154,PayPal,Online,2025-02-04T13:49:49.7780000,2025-02-04T13:49:43.9680000
order_4287,2025-02-04T19:20:38.0000000,cust4287,Lauren Cox,erios@example.com,event68,Movie,"23370 Kimberly Track Suite 543
Cainburgh, PW 94558",A9,57,Cinema,Tuesday,19,payment_5287,2025-02-04T19:20:32.0000000,123,Credit Card,Card,2025-02-04T13:50:39.9980000,2025-02-04T13:50:33.3800000
order_4373,2025-02-04T19:20:45.0000000,cust4373,Lawrence Cochran,wigginsrobert@example.com,event10,Concert,"73910 Patrick Forest
South Luis, UT 72467",A10,99,Music,Tuesday,19,payment_5373,2025-02-04T19:20:38.0000000,116,Debit Card,Card,2025-02-04T13:50:46.2170000,2025-02-04T13:50:39.2090000
order_4363,2025-02-04T19:20:44.0000000,cust4363,Mark Olson,kimberly79@example.net,event80,Play,"99442 Young Track
Chapmanburgh, NJ 76715",B1,70,Theater,Tuesday,19,payment_5363,2025-02-04T19:20:37.0000000,103,Debit Card,Card,2025-02-04T13:50:45.5210000,2025-02-04T13:50:38.5420000
order_4317,2025-02-04T19:20:41.0000000,cust4317,Cheryl Adams,juliachristian@example.net,event74,Play,"64053 Christensen Inlet
Joshualand, WI 86890",A2,89,Theater,Tuesday,19,payment_5317,2025-02-04T19:20:34.0000000,162,Credit Card,Card,2025-02-04T13:50:42.3570000,2025-02-04T13:50:35.4110000
order_4286,2025-02-04T19:20:38.0000000,cust4286,David Spears,esullivan@example.net,event86,Concert,"71442 Bryan Shoals
Tiffanybury, PA 79013",C7,71,Music,Tuesday,19,payment_5286,2025-02-04T19:20:32.0000000,113,PayPal,Online,2025-02-04T13:50:39.9200000,2025-02-04T13:50:33.3020000
order_4343,2025-02-04T19:20:43.0000000,cust4343,Jamie Davis,zhangjanet@example.org,event16,Movie,"4382 Kelly Pass
South Carriehaven, AR 98660",C3,76,Cinema,Tuesday,19,payment_5343,2025-02-04T19:20:36.0000000,158,PayPal,Online,2025-02-04T13:50:44.1460000,2025-02-04T13:50:37.1820000
order_4310,2025-02-04T19:20:40.0000000,cust4310,David Lowe,lsmith@example.org,event98,Play,"12223 Perez Haven
North Markfurt, PA 47419",B3,93,Theater,Tuesday,19,payment_5310,2025-02-04T19:20:33.0000000,181,Credit Card,Card,2025-02-04T13:50:41.8640000,2025-02-04T13:50:34.9320000
order_4265,2025-02-04T19:20:37.0000000,cust4265,Crystal Perez,mhernandez@example.com,event20,Movie,"3257 David Vista
Taylorborough, MO 78076",B3,64,Cinema,Tuesday,19,payment_5265,2025-02-04T19:20:30.0000000,145,Credit Card,Card,2025-02-04T13:50:38.4510000,2025-02-04T13:50:31.8480000
order_3001,2025-02-04T19:19:06.0000000,cust3001,Maria Young,vjordan@example.org,event84,Play,"PSC 9251, Box 6164
APO AP 26761",C5,76,Theater,Tuesday,19,payment_4001,2025-02-04T19:19:01.0000000,113,PayPal,Online,2025-02-04T13:49:07.5430000,2025-02-04T13:49:02.3840000
order_3596,2025-02-04T19:19:48.0000000,cust3596,Lisa Munoz,gibbsanna@example.com,event91,Play,"44652 Aaron Crossroad Apt. 888
New Fred, MA 30596",A7,95,Theater,Tuesday,19,payment_4596,2025-02-04T19:19:42.0000000,175,Debit Card,Card,2025-02-04T13:49:49.6420000,2025-02-04T13:49:43.8520000
order_4400,2025-02-04T19:20:47.0000000,cust4400,Melissa Johnson,edward42@example.net,event87,Play,"52432 William Mews Apt. 359
Jamesmouth, AR 97390",A2,83,Theater,Tuesday,19,payment_5400,2025-02-04T19:20:40.0000000,132,Debit Card,Card,2025-02-04T13:50:48.0760000,2025-02-04T13:50:41.0060000
order_4272,2025-02-04T19:20:37.0000000,cust4272,Thomas Ellis,lnewman@example.net,event41,Movie,"08555 David Fall
Jonesmouth, SC 41438",A6,96,Cinema,Tuesday,19,payment_5272,2025-02-04T19:20:31.0000000,134,Debit Card,Card,2025-02-04T13:50:38.9270000,2025-02-04T13:50:32.3540000
order_4464,2025-02-04T19:20:51.0000000,cust4464,Troy Maxwell,pharris@example.com,event42,Concert,"221 Kristen Route
South Timothy, PA 41922",C1,73,Music,Tuesday,19,payment_5464,2025-02-04T19:20:44.0000000,121,Debit Card,Card,2025-02-04T13:50:52.4750000,2025-02-04T13:50:45.3080000
order_4297,2025-02-04T19:20:39.0000000,cust4297,Anita Wyatt,jasminwood@example.com,event48,Concert,"823 Horn Gardens
Longmouth, DE 60589",B8,91,Music,Tuesday,19,payment_5297,2025-02-04T19:20:33.0000000,103,Debit Card,Card,2025-02-04T13:50:40.9430000,2025-02-04T13:50:34.0570000
order_4333,2025-02-04T19:20:42.0000000,cust4333,Holly Campbell,ucarey@example.org,event96,Movie,"23024 Brandon Hollow
West Ronniestad, ID 14936",B3,66,Cinema,Tuesday,19,payment_5333,2025-02-04T19:20:35.0000000,149,PayPal,Online,2025-02-04T13:50:43.4670000,2025-02-04T13:50:36.5050000
